,Date,Orders
0,"May 1, 2023",588
1,"May 2, 2023",532
2,"May 3, 2023",599
3,"May 4, 2023",559
4,"May 5, 2023",480
5,"May 6, 2023",512
6,"May 7, 2023",424
7,"May 8, 2023",505
8,"May 9, 2023",463
9,"May 10, 2023",521
10,"May 11, 2023",469
11,"May 12, 2023",508
12,"May 13, 2023",437
13,"May 14, 2023",514
14,"May 15, 2023",573
15,"May 16, 2023",668
16,"May 17, 2023",623
17,"May 18, 2023",654
18,"May 19, 2023",620
19,"May 20, 2023",608
20,"May 21, 2023",553
21,"May 22, 2023",713
22,"May 23, 2023",759
23,"May 24, 2023",743
24,"May 25, 2023",783
25,"May 26, 2023",872
26,"May 27, 2023",820
27,"May 28, 2023",822
28,"May 29, 2023",875
29,"May 30, 2023",748
30,"May 31, 2023",857
31,"June 1, 2023",941
32,"June 2, 2023",981
33,"June 3, 2023",1030
34,"June 4, 2023",974
35,"June 5, 2023",969
36,"June 6, 2023",925
37,"June 7, 2023",878
38,"June 8, 2023",935
39,"June 9, 2023",896
40,"June 10, 2023",804
41,"June 11, 2023",749
42,"June 12, 2023",913
43,"June 13, 2023",801
44,"June 14, 2023",868
45,"June 15, 2023",944
46,"June 16, 2023",921
47,"June 17, 2023",862
48,"June 18, 2023",882
49,"June 19, 2023",893
50,"June 20, 2023",1008
51,"June 21, 2023",917
52,"June 22, 2023",860
53,"June 23, 2023",843
54,"June 24, 2023",708
55,"June 25, 2023",676
56,"June 26, 2023",818
57,"June 27, 2023",829
58,"June 28, 2023",850
59,"June 29, 2023",878
60,"June 30, 2023",823
61,"July 1, 2023",893
62,"July 2, 2023",804
63,"July 3, 2023",899
64,"July 4, 2023",843
65,"July 5, 2023",771
66,"July 6, 2023",813
67,"July 7, 2023",680
68,"July 8, 2023",760
69,"July 9, 2023",783
70,"July 10, 2023",928
71,"July 11, 2023",865
72,"July 12, 2023",882
73,"July 13, 2023",1036
74,"July 14, 2023",938
75,"July 15, 2023",925
76,"July 16, 2023",895
77,"July 17, 2023",900
78,"July 18, 2023",876
79,"July 19, 2023",904
80,"July 20, 2023",900
81,"July 21, 2023",882
82,"July 22, 2023",750
83,"July 23, 2023",780
84,"July 24, 2023",916
85,"July 25, 2023",921
86,"July 26, 2023",862
87,"July 27, 2023",833
88,"July 28, 2023",781
89,"July 29, 2023",827
90,"July 30, 2023",790
91,"July 31, 2023",872
92,"August 1, 2023",895
93,"August 2, 2023",864
94,"August 3, 2023",865
95,"August 4, 2023",816
96,"August 5, 2023",780
97,"August 6, 2023",816
98,"August 7, 2023",1008
99,"August 8, 2023",967
100,"August 9, 2023",1072
101,"August 10, 2023",1063
102,"August 11, 2023",1036
103,"August 12, 2023",1026
104,"August 13, 2023",972
105,"August 14, 2023",1001
106,"August 15, 2023",963
107,"August 16, 2023",1029
108,"August 17, 2023",937
109,"August 18, 2023",969
110,"August 19, 2023",904
111,"August 20, 2023",939
112,"August 21, 2023",962
113,"August 22, 2023",1050
114,"August 23, 2023",1004
115,"August 24, 2023",949
116,"August 25, 2023",965
117,"August 26, 2023",965
118,"August 27, 2023",900
119,"August 28, 2023",962
120,"August 29, 2023",1009
121,"August 30, 2023",1054
122,"August 31, 2023",1047
123,"September 1, 2023",966
124,"September 2, 2023",1075
125,"September 3, 2023",1120
126,"September 4, 2023",1168
127,"September 5, 2023",1131
128,"September 6, 2023",1169
129,"September 7, 2023",1127
130,"September 8, 2023",1119
131,"September 9, 2023",1117
132,"September 10, 2023",1224
133,"September 11, 2023",1211
134,"September 12, 2023",1281
135,"September 13, 2023",1156
136,"September 14, 2023",1245
137,"September 15, 2023",1242
138,"September 16, 2023",1210
139,"September 17, 2023",1235
140,"September 18, 2023",1116
141,"September 19, 2023",1099
142,"September 20, 2023",1025
143,"September 21, 2023",1032
144,"September 22, 2023",976
145,"September 23, 2023",1023
146,"September 24, 2023",1037
147,"September 25, 2023",1022
148,"September 26, 2023",1063
149,"September 27, 2023",1068
150,"September 28, 2023",1064
151,"September 29, 2023",1133
152,"September 30, 2023",1112
153,"October 1, 2023",1278
154,"October 2, 2023",1120
155,"October 3, 2023",1211
156,"October 4, 2023",1128
157,"October 5, 2023",1180
158,"October 6, 2023",1035
159,"October 7, 2023",1012
160,"October 8, 2023",1042
161,"October 9, 2023",1037
162,"October 10, 2023",1088
163,"October 11, 2023",1113
164,"October 12, 2023",1086
165,"October 13, 2023",1110
166,"October 14, 2023",1029
167,"October 15, 2023",1085
168,"October 16, 2023",956
169,"October 17, 2023",1075
170,"October 18, 2023",1058
171,"October 19, 2023",1065
172,"October 20, 2023",1060
173,"October 21, 2023",1050
174,"October 22, 2023",1060
