,Date,Orders
0,"May 1, 2023",987
1,"May 2, 2023",948
2,"May 3, 2023",956
3,"May 4, 2023",972
4,"May 5, 2023",979
5,"May 6, 2023",973
6,"May 7, 2023",1014
7,"May 8, 2023",1015
8,"May 9, 2023",917
9,"May 10, 2023",935
10,"May 11, 2023",787
11,"May 12, 2023",767
12,"May 13, 2023",728
13,"May 14, 2023",774
14,"May 15, 2023",834
15,"May 16, 2023",822
16,"May 17, 2023",883
17,"May 18, 2023",847
18,"May 19, 2023",860
19,"May 20, 2023",722
20,"May 21, 2023",881
21,"May 22, 2023",893
22,"May 23, 2023",612
23,"May 24, 2023",497
24,"May 25, 2023",389
25,"May 26, 2023",463
26,"May 27, 2023",463
27,"May 28, 2023",430
28,"May 29, 2023",455
29,"May 30, 2023",417
30,"May 31, 2023",445
31,"June 1, 2023",375
32,"June 2, 2023",379
33,"June 3, 2023",375
34,"June 4, 2023",384
35,"June 5, 2023",378
36,"June 6, 2023",350
37,"June 7, 2023",361
38,"June 8, 2023",407
39,"June 9, 2023",344
40,"June 10, 2023",309
41,"June 11, 2023",336
42,"June 12, 2023",386
43,"June 13, 2023",396
44,"June 14, 2023",363
45,"June 15, 2023",416
46,"June 16, 2023",378
47,"June 17, 2023",340
48,"June 18, 2023",360
49,"June 19, 2023",368
50,"June 20, 2023",462
51,"June 21, 2023",398
52,"June 22, 2023",326
53,"June 23, 2023",371
54,"June 24, 2023",273
55,"June 25, 2023",428
56,"June 26, 2023",337
57,"June 27, 2023",377
58,"June 28, 2023",329
59,"June 29, 2023",307
60,"June 30, 2023",335
61,"July 1, 2023",392
62,"July 2, 2023",336
63,"July 3, 2023",350
64,"July 4, 2023",358
65,"July 5, 2023",371
66,"July 6, 2023",329
67,"July 7, 2023",328
68,"July 8, 2023",309
69,"July 9, 2023",365
70,"July 10, 2023",353
71,"July 11, 2023",434
72,"July 12, 2023",363
73,"July 13, 2023",382
74,"July 14, 2023",336
75,"July 15, 2023",332
76,"July 16, 2023",391
77,"July 17, 2023",357
78,"July 18, 2023",378
79,"July 19, 2023",405
80,"July 20, 2023",370
81,"July 21, 2023",389
82,"July 22, 2023",330
83,"July 23, 2023",395
84,"July 24, 2023",300
85,"July 25, 2023",238
86,"July 26, 2023",246
87,"July 27, 2023",189
88,"July 28, 2023",213
89,"July 29, 2023",211
90,"July 30, 2023",227
91,"July 31, 2023",237
92,"August 1, 2023",214
93,"August 2, 2023",193
94,"August 3, 2023",227
95,"August 4, 2023",171
96,"August 5, 2023",182
97,"August 6, 2023",204
98,"August 7, 2023",179
99,"August 8, 2023",363
100,"August 9, 2023",269
101,"August 10, 2023",290
102,"August 11, 2023",274
103,"August 12, 2023",274
104,"August 13, 2023",286
105,"August 14, 2023",220
106,"August 15, 2023",294
107,"August 16, 2023",293
108,"August 17, 2023",216
109,"August 18, 2023",269
110,"August 19, 2023",231
111,"August 20, 2023",246
112,"August 21, 2023",262
113,"August 22, 2023",251
114,"August 23, 2023",248
115,"August 24, 2023",255
116,"August 25, 2023",252
117,"August 26, 2023",248
118,"August 27, 2023",280
119,"August 28, 2023",371
120,"August 29, 2023",290
121,"August 30, 2023",302
122,"August 31, 2023",295
123,"September 1, 2023",262
124,"September 2, 2023",298
125,"September 3, 2023",349
126,"September 4, 2023",319
127,"September 5, 2023",277
128,"September 6, 2023",274
129,"September 7, 2023",288
130,"September 8, 2023",276
131,"September 9, 2023",305
132,"September 10, 2023",350
133,"September 11, 2023",295
134,"September 12, 2023",293
135,"September 13, 2023",279
136,"September 14, 2023",270
137,"September 15, 2023",286
138,"September 16, 2023",265
139,"September 17, 2023",325
140,"September 18, 2023",273
141,"September 19, 2023",316
142,"September 20, 2023",330
143,"September 21, 2023",300
144,"September 22, 2023",255
145,"September 23, 2023",255
146,"September 24, 2023",297
147,"September 25, 2023",269
148,"September 26, 2023",304
149,"September 27, 2023",435
150,"September 28, 2023",356
151,"September 29, 2023",349
152,"September 30, 2023",258
153,"October 1, 2023",280
154,"October 2, 2023",241
155,"October 3, 2023",287
156,"October 4, 2023",281
157,"October 5, 2023",235
158,"October 6, 2023",262
159,"October 7, 2023",260
160,"October 8, 2023",293
161,"October 9, 2023",288
162,"October 10, 2023",325
163,"October 11, 2023",329
164,"October 12, 2023",406
165,"October 13, 2023",330
166,"October 14, 2023",321
167,"October 15, 2023",377
168,"October 16, 2023",304
169,"October 17, 2023",353
170,"October 18, 2023",332
171,"October 19, 2023",307
172,"October 20, 2023",235
173,"October 21, 2023",322
174,"October 22, 2023",321
