;Date;Unique Visitors
0;01.05.2023;34010
1;02.05.2023;42876
2;03.05.2023;42608
3;04.05.2023;41266
4;05.05.2023;38584
5;06.05.2023;32165
6;07.05.2023;31088
7;08.05.2023;32648
8;09.05.2023;31234
9;10.05.2023;42599
10;11.05.2023;42774
11;12.05.2023;39131
12;13.05.2023;31688
13;14.05.2023;33018
14;15.05.2023;41716
15;16.05.2023;42290
16;17.05.2023;42027
17;18.05.2023;41628
18;19.05.2023;37661
19;20.05.2023;29943
20;21.05.2023;31661
21;22.05.2023;40946
22;23.05.2023;41705
23;24.05.2023;40425
24;25.05.2023;39799
25;26.05.2023;38076
26;27.05.2023;31837
27;28.05.2023;31989
28;29.05.2023;40586
29;30.05.2023;40319
30;31.05.2023;39915
31;01.06.2023;42459
32;02.06.2023;44876
33;03.06.2023;38688
34;04.06.2023;37135
35;05.06.2023;44096
36;06.06.2023;43593
37;07.06.2023;45074
38;08.06.2023;44556
39;09.06.2023;42080
40;10.06.2023;34716
41;11.06.2023;35083
42;12.06.2023;39823
43;13.06.2023;44843
44;14.06.2023;46665
45;15.06.2023;45116
46;16.06.2023;42239
47;17.06.2023;35629
48;18.06.2023;38318
49;19.06.2023;44792
50;20.06.2023;47285
51;21.06.2023;45384
52;22.06.2023;44351
53;23.06.2023;46210
54;24.06.2023;42858
55;25.06.2023;47128
56;26.06.2023;47939
57;27.06.2023;47089
58;28.06.2023;43450
59;29.06.2023;42283
60;30.06.2023;39726
61;01.07.2023;35560
62;02.07.2023;38265
63;03.07.2023;42517
64;04.07.2023;43172
65;05.07.2023;40631
66;06.07.2023;41689
67;07.07.2023;41882
68;08.07.2023;36291
69;09.07.2023;38317
70;10.07.2023;49483
71;11.07.2023;48959
72;12.07.2023;48184
73;13.07.2023;47869
74;14.07.2023;46327
75;15.07.2023;35791
76;16.07.2023;37671
77;17.07.2023;44880
78;18.07.2023;46752
79;19.07.2023;46658
80;20.07.2023;47268
81;21.07.2023;46073
82;22.07.2023;38182
83;23.07.2023;41479
84;24.07.2023;48608
85;25.07.2023;44150
86;26.07.2023;44223
87;27.07.2023;43851
88;28.07.2023;41740
89;29.07.2023;35225
90;30.07.2023;39521
91;31.07.2023;46561
92;01.08.2023;46925
93;02.08.2023;50089
94;03.08.2023;49784
95;04.08.2023;44278
96;05.08.2023;36931
97;06.08.2023;39304
98;07.08.2023;49318
99;08.08.2023;49395
100;09.08.2023;47303
101;10.08.2023;45079
102;11.08.2023;45396
103;12.08.2023;40716
104;13.08.2023;41692
105;14.08.2023;47253
106;15.08.2023;47078
107;16.08.2023;49965
108;17.08.2023;45199
109;18.08.2023;45382
110;19.08.2023;39908
111;20.08.2023;42053
112;21.08.2023;48678
113;22.08.2023;46647
114;23.08.2023;46890
115;24.08.2023;47048
116;25.08.2023;46382
117;26.08.2023;41084
118;27.08.2023;42914
119;28.08.2023;49788
120;29.08.2023;52791
121;30.08.2023;51598
122;31.08.2023;46372
123;01.09.2023;39549
124;02.09.2023;41825
125;03.09.2023;43744
126;04.09.2023;48752
127;05.09.2023;47107
128;06.09.2023;47464
129;07.09.2023;45962
130;08.09.2023;44594
131;09.09.2023;41744
132;10.09.2023;44002
133;11.09.2023;49344
134;12.09.2023;48594
135;13.09.2023;45154
136;14.09.2023;48423
137;15.09.2023;47435
138;16.09.2023;43007
139;17.09.2023;43849
140;18.09.2023;51296
141;19.09.2023;46689
142;20.09.2023;48387
143;21.09.2023;55751
144;22.09.2023;50624
145;23.09.2023;45821
146;24.09.2023;47467
147;25.09.2023;55629
148;26.09.2023;55370
149;27.09.2023;51755
150;28.09.2023;50414
151;29.09.2023;49400
152;30.09.2023;40452
153;01.10.2023;43352
154;02.10.2023;50425
155;03.10.2023;54267
156;04.10.2023;54263
157;05.10.2023;55072
158;06.10.2023;52367
159;07.10.2023;45422
160;08.10.2023;42974
161;09.10.2023;49778
162;10.10.2023;50023
163;11.10.2023;52213
164;12.10.2023;52940
165;13.10.2023;46145
166;14.10.2023;42696
167;15.10.2023;47438
168;16.10.2023;54953
169;17.10.2023;56456
170;18.10.2023;52076
171;19.10.2023;51372
172;20.10.2023;48951
173;21.10.2023;43434
174;22.10.2023;44797
