,Date,Unique Visitors
0,"May 1, 2023",3
1,"May 2, 2023",3
2,"May 4, 2023",1
3,"May 5, 2023",8
4,"May 8, 2023",1
5,"May 9, 2023",1
6,"May 10, 2023",6
7,"May 11, 2023",1046
8,"May 12, 2023",1302
9,"May 13, 2023",1212
10,"May 14, 2023",1302
11,"May 15, 2023",801
12,"May 16, 2023",641
13,"May 17, 2023",620
14,"May 18, 2023",651
15,"May 19, 2023",606
16,"May 20, 2023",616
17,"May 21, 2023",643
18,"May 22, 2023",679
19,"May 23, 2023",669
20,"May 24, 2023",616
21,"May 25, 2023",647
22,"May 26, 2023",672
23,"May 27, 2023",637
24,"May 28, 2023",664
25,"May 29, 2023",685
26,"May 30, 2023",741
27,"May 31, 2023",591
28,"June 1, 2023",634
29,"June 2, 2023",690
30,"June 3, 2023",623
31,"June 4, 2023",596
32,"June 5, 2023",640
33,"June 6, 2023",603
34,"June 7, 2023",591
35,"June 8, 2023",554
36,"June 9, 2023",556
37,"June 10, 2023",580
38,"June 11, 2023",577
39,"June 12, 2023",643
40,"June 13, 2023",627
41,"June 14, 2023",504
42,"June 15, 2023",668
43,"June 16, 2023",568
44,"June 17, 2023",545
45,"June 18, 2023",605
46,"June 19, 2023",573
47,"June 20, 2023",585
48,"June 21, 2023",608
49,"June 22, 2023",542
50,"June 23, 2023",536
51,"June 24, 2023",469
52,"June 25, 2023",559
53,"June 26, 2023",549
54,"June 27, 2023",512
55,"June 28, 2023",501
56,"June 29, 2023",490
57,"June 30, 2023",510
58,"July 1, 2023",545
59,"July 2, 2023",482
60,"July 3, 2023",571
61,"July 4, 2023",585
62,"July 5, 2023",441
63,"July 6, 2023",486
64,"July 7, 2023",451
65,"July 8, 2023",433
66,"July 9, 2023",536
67,"July 10, 2023",503
68,"July 11, 2023",582
69,"July 12, 2023",501
70,"July 13, 2023",566
71,"July 14, 2023",529
72,"July 15, 2023",462
73,"July 16, 2023",524
74,"July 17, 2023",546
75,"July 18, 2023",521
76,"July 19, 2023",531
77,"July 20, 2023",525
78,"July 21, 2023",536
79,"July 22, 2023",570
80,"July 23, 2023",532
81,"July 24, 2023",885
82,"July 25, 2023",879
83,"July 26, 2023",942
84,"July 27, 2023",900
85,"July 28, 2023",841
86,"July 29, 2023",825
87,"July 30, 2023",899
88,"July 31, 2023",909
89,"August 1, 2023",841
90,"August 2, 2023",878
91,"August 3, 2023",771
92,"August 4, 2023",799
93,"August 5, 2023",729
94,"August 6, 2023",767
95,"August 7, 2023",822
96,"August 8, 2023",893
97,"August 9, 2023",910
98,"August 10, 2023",890
99,"August 11, 2023",944
100,"August 12, 2023",878
101,"August 13, 2023",931
102,"August 14, 2023",879
103,"August 15, 2023",893
104,"August 16, 2023",969
105,"August 17, 2023",904
106,"August 18, 2023",875
107,"August 19, 2023",914
108,"August 20, 2023",935
109,"August 21, 2023",1021
110,"August 22, 2023",1064
111,"August 23, 2023",981
112,"August 24, 2023",935
113,"August 25, 2023",911
114,"August 26, 2023",983
115,"August 27, 2023",1081
116,"August 28, 2023",1177
117,"August 29, 2023",1021
118,"August 30, 2023",1081
119,"August 31, 2023",1012
120,"September 1, 2023",995
121,"September 2, 2023",1082
122,"September 3, 2023",1116
123,"September 4, 2023",1057
124,"September 5, 2023",965
125,"September 6, 2023",980
126,"September 7, 2023",1050
127,"September 8, 2023",987
128,"September 9, 2023",1103
129,"September 10, 2023",1201
130,"September 11, 2023",1050
131,"September 12, 2023",1142
132,"September 13, 2023",1021
133,"September 14, 2023",1106
134,"September 15, 2023",1037
135,"September 16, 2023",1005
136,"September 17, 2023",1119
137,"September 18, 2023",1086
138,"September 19, 2023",1099
139,"September 20, 2023",1042
140,"September 21, 2023",1078
141,"September 22, 2023",988
142,"September 23, 2023",959
143,"September 24, 2023",1126
144,"September 25, 2023",1096
145,"September 26, 2023",1078
146,"September 27, 2023",1177
147,"September 28, 2023",1289
148,"September 29, 2023",1355
149,"September 30, 2023",1400
150,"October 1, 2023",1485
151,"October 2, 2023",1376
152,"October 3, 2023",1453
153,"October 4, 2023",1456
154,"October 5, 2023",1309
155,"October 6, 2023",1372
156,"October 7, 2023",1463
157,"October 8, 2023",1226
158,"October 9, 2023",1424
159,"October 10, 2023",1508
160,"October 11, 2023",1525
161,"October 12, 2023",1639
162,"October 13, 2023",1421
163,"October 14, 2023",1687
164,"October 15, 2023",1333
165,"October 16, 2023",1529
166,"October 17, 2023",1609
167,"October 18, 2023",1487
168,"October 19, 2023",1427
169,"October 20, 2023",1350
170,"October 21, 2023",1638
171,"October 22, 2023",1604
