Date;Paid Orders;Trial Orders;Unique Visitors;Paid Carts Visitors;Trial Carts Visitors
01.05.2023;588;987;34010;412;3
02.05.2023;532;948;42876;402;3
03.05.2023;599;956;42608;364;0
04.05.2023;559;972;41266;336;1
05.05.2023;480;979;38584;322;8
06.05.2023;512;973;32165;329;0
07.05.2023;424;1014;31088;319;0
08.05.2023;505;1015;32648;335;1
09.05.2023;463;917;31234;351;1
10.05.2023;521;935;42599;353;6
11.05.2023;469;787;42774;622;1046
12.05.2023;508;767;39131;679;1302
13.05.2023;437;728;31688;661;1212
14.05.2023;514;774;33018;769;1302
15.05.2023;573;834;41716;612;801
16.05.2023;668;822;42290;564;641
17.05.2023;623;883;42027;598;620
18.05.2023;654;847;41628;582;651
19.05.2023;620;860;37661;552;606
20.05.2023;608;722;29943;552;616
21.05.2023;553;881;31661;553;643
22.05.2023;713;893;40946;652;679
23.05.2023;759;612;41705;603;669
24.05.2023;743;497;40425;549;616
25.05.2023;783;389;39799;549;647
26.05.2023;872;463;38076;540;672
27.05.2023;820;463;31837;518;637
28.05.2023;822;430;31989;594;664
29.05.2023;875;455;40586;539;685
30.05.2023;748;417;40319;566;741
31.05.2023;857;445;39915;587;591
01.06.2023;941;375;42459;650;634
02.06.2023;981;379;44876;637;690
03.06.2023;1030;375;38688;675;623
04.06.2023;974;384;37135;665;596
05.06.2023;969;378;44096;707;640
06.06.2023;925;350;43593;801;603
07.06.2023;878;361;45074;888;591
08.06.2023;935;407;44556;788;554
09.06.2023;896;344;42080;830;556
10.06.2023;804;309;34716;760;580
11.06.2023;749;336;35083;777;577
12.06.2023;913;386;39823;847;643
13.06.2023;801;396;44843;813;627
14.06.2023;868;363;46665;874;504
15.06.2023;944;416;45116;801;668
16.06.2023;921;378;42239;816;568
17.06.2023;862;340;35629;763;545
18.06.2023;882;360;38318;902;605
19.06.2023;893;368;44792;976;573
20.06.2023;1008;462;47285;861;585
21.06.2023;917;398;45384;839;608
22.06.2023;860;326;44351;778;542
23.06.2023;843;371;46210;804;536
24.06.2023;708;273;42858;683;469
25.06.2023;676;428;47128;710;559
26.06.2023;818;337;47939;833;549
27.06.2023;829;377;47089;816;512
28.06.2023;850;329;43450;787;501
29.06.2023;878;307;42283;855;490
30.06.2023;823;335;39726;892;510
01.07.2023;893;392;35560;995;545
02.07.2023;804;336;38265;994;482
03.07.2023;899;350;42517;1036;571
04.07.2023;843;358;43172;994;585
05.07.2023;771;371;40631;766;441
06.07.2023;813;329;41689;727;486
07.07.2023;680;328;41882;651;451
08.07.2023;760;309;36291;708;433
09.07.2023;783;365;38317;760;536
10.07.2023;928;353;49483;928;503
11.07.2023;865;434;48959;865;582
12.07.2023;882;363;48184;797;501
13.07.2023;1036;382;47869;903;566
14.07.2023;938;336;46327;829;529
15.07.2023;925;332;35791;839;462
16.07.2023;895;391;37671;867;524
17.07.2023;900;357;44880;855;546
18.07.2023;876;378;46752;861;521
19.07.2023;904;405;46658;864;531
20.07.2023;900;370;47268;850;525
21.07.2023;882;389;46073;827;536
22.07.2023;750;330;38182;780;570
23.07.2023;780;395;41479;830;532
24.07.2023;916;300;48608;944;885
25.07.2023;921;238;44150;897;879
26.07.2023;862;246;44223;855;942
27.07.2023;833;189;43851;776;900
28.07.2023;781;213;41740;725;841
29.07.2023;827;211;35225;802;825
30.07.2023;790;227;39521;808;899
31.07.2023;872;237;46561;858;909
01.08.2023;895;214;46925;871;841
02.08.2023;864;193;50089;843;878
03.08.2023;865;227;49784;802;771
04.08.2023;816;171;44278;797;799
05.08.2023;780;182;36931;727;729
06.08.2023;816;204;39304;797;767
07.08.2023;1008;179;49318;924;822
08.08.2023;967;363;49395;900;893
09.08.2023;1072;269;47303;946;910
10.08.2023;1063;290;45079;977;890
11.08.2023;1036;274;45396;1082;944
12.08.2023;1026;274;40716;1061;878
13.08.2023;972;286;41692;1046;931
14.08.2023;1001;220;47253;924;879
